Faction,Games,VP,Opp VP,Win %,Wins,Losses,Draws,Real Win %,End Date
Thousand Sons,196,67.83,64.22,51.53,101,94,1,51.60,14/11/2022
Thousand Sons,208,63.85,62.04,50.96,106,102,0,50.97,21/11/2022
Thousand Sons,270,62.65,62.23,51.11,138,126,6,51.15,28/11/2022
Thousand Sons,212,67.01,62.28,58.49,124,86,2,58.57,05/12/2022
Thousand Sons,221,70.13,63.14,57.92,128,88,5,58.69,12/12/2022
Thousand Sons,23,58.39,60.48,52.17,12,11,0,52.17,19/12/2022
Tyranids,438,63.32,58.92,54.11,237,193,8,54.55,11/07/2022
Tyranids,541,66.47,60.58,53.23,288,246,7,53.72,18/07/2022
Tyranids,549,64.94,60.08,55.37,304,236,9,55.64,25/07/2022
Tyranids,532,64.83,61.1,56.58,301,223,8,56.76,01/08/2022
Tyranids,558,64.91,59.39,57.17,319,230,9,57.46,08/08/2022
Tyranids,533,64.08,57.41,55.72,297,227,9,56.21,15/08/2022
Tyranids,556,68.15,59.53,60.61,337,216,3,60.85,22/08/2022
Tyranids,516,67.01,59.59,59.69,308,200,8,60.12,29/08/2022
Tyranids,34,80.97,56.74,82.35,28,6,0,82.35,05/09/2022
Tyranids,18,61.17,44.39,50.00,9,9,0,50.00,12/09/2022
Tyranids,50,71.72,60.96,52.00,26,23,1,52.00,19/09/2022
Tyranids,419,67.16,61.34,54.65,229,183,7,54.74,26/09/2022
Tyranids,455,68.69,59.57,60.44,275,170,10,61.31,03/10/2022
Tyranids,534,69.05,62.96,54.31,290,235,9,54.53,10/10/2022
Tyranids,434,63.62,59.55,55.76,242,188,4,55.90,17/10/2022
Tyranids,454,64.55,58.84,54.85,249,194,11,55.02,24/10/2022
Tyranids,445,64.94,56.97,58.65,261,181,3,59.14,31/10/2022
Tyranids,438,63.85,62.28,50.68,222,209,7,50.71,07/11/2022
Tyranids,500,64.19,60.47,54.20,271,224,5,54.29,14/11/2022
Tyranids,451,64.16,61.46,52.77,238,208,5,52.93,21/11/2022
Tyranids,401,64.77,62.64,51.37,206,192,3,51.41,28/11/2022
Tyranids,295,61.93,61.26,50.17,148,145,2,50.17,05/12/2022
Tyranids,340,66.31,62.32,52.94,180,157,3,53.07,12/12/2022
Tyranids,52,47.62,59.96,36.54,19,32,1,36.54,19/12/2022
Ynnari,29,63.28,54,62.07,18,11,0,62.07,11/07/2022
Ynnari,39,63.69,68.33,35.90,14,23,2,35.90,18/07/2022
Ynnari,61,60.02,56.98,54.10,33,28,0,54.10,25/07/2022
Ynnari,51,61.98,50.47,72.55,37,14,0,72.55,01/08/2022
Ynnari,43,64.44,65.19,39.53,17,26,0,39.02,08/08/2022
Ynnari,60,66.07,59.1,68.33,41,17,2,68.33,15/08/2022
Ynnari,67,62.19,60.01,50.75,34,32,1,50.75,22/08/2022
Ynnari,70,68.11,63.9,48.57,34,36,0,48.53,29/08/2022
Ynnari,3,85,46.33,100.00,3,0,0,100.00,05/09/2022
Ynnari,7,55.57,80.86,28.57,2,5,0,28.57,12/09/2022
Ynnari,9,82.44,57.11,88.89,8,1,0,88.89,19/09/2022
Ynnari,49,58.57,58.1,48.98,24,25,0,48.98,26/09/2022
Ynnari,108,66.63,63.17,52.78,57,50,1,52.83,03/10/2022
Ynnari,81,65.58,61.37,53.09,43,36,2,53.09,10/10/2022
Ynnari,60,65.68,60.52,46.67,28,29,3,46.67,17/10/2022
Ynnari,71,58.68,59.13,50.70,36,34,1,50.70,24/10/2022
Ynnari,88,64.26,58.97,54.55,48,39,1,54.55,31/10/2022
Ynnari,86,66.36,56.94,63.95,55,30,1,63.95,07/11/2022
Ynnari,98,60.94,59.37,51.02,50,47,1,51.04,14/11/2022
Ynnari,85,68,63.6,55.29,47,38,0,55.42,21/11/2022
Ynnari,99,65.28,56.12,56.57,56,42,1,56.70,28/11/2022
Ynnari,74,65.8,62.78,55.41,41,31,2,55.56,05/12/2022
Ynnari,79,63.53,58.23,56.96,45,32,2,56.96,12/12/2022
Ynnari,17,59.24,55.12,70.59,12,5,0,70.59,19/12/2022
